type,arities,num_leaves,batch_size,upds_per_sec,hashes_per_sec,num_hashes
merkle_sha3,2,2000000000,1,12987,415584,32
type,arities,num_leaves,batch_size,upds_per_sec,hashes_per_sec,num_hashes
merkle_sha3,2,2000000000,2,17857,562500,63
merkle_sha3,2,2000000000,2,11049,348066,63
merkle_sha3,2,2000000000,4,23809,720238,121
merkle_sha3,2,2000000000,8,23880,686567,230
merkle_sha3,2,2000000000,16,18348,516055,450
merkle_sha3,2,2000000000,32,27420,746358,871
merkle_sha3,2,2000000000,64,36676,954727,1666
merkle_sha3,2,2000000000,128,38752,971541,3209
merkle_sha3,2,2000000000,256,41912,1001309,6116
merkle_sha3,2,2000000000,512,42174,967957,11751
merkle_sha3,2,2000000000,1024,32267,708397,22481
merkle_sha3,2,2000000000,2048,38792,816892,43127
merkle_sha3,2,2000000000,4096,52924,1058429,81915
merkle_sha3,2,2000000000,8192,44754,850461,155671
merkle_sha3,2,2000000000,16384,50426,907958,295002
merkle_sha3,2,2000000000,32768,45430,772575,557241
merkle_sha3,2,2000000000,65536,50965,816059,1049353
merkle_sha3,2,2000000000,131072,54188,813452,1967590
merkle_sha3,2,2000000000,262144,61980,868445,3673077
merkle_sha3,2,2000000000,524288,61680,802256,6819241
