type,arity,num_leaves,num_updates,upds_per_sec,hashes_per_sec,num_hashes
merkle++,2,1000000,200000,15303,84904,1109616
merkle++,4,1000000,200000,27624,95523,691588
merkle++,8,1000000,200000,38321,103404,539670
merkle++,16,1000000,200000,47382,110505,466442
merkle++,32,1000000,200000,53893,116479,432256
merkle++,64,1000000,200000,58038,120682,415872
merkle++,128,1000000,200000,60006,122384,407908
merkle++,256,1000000,200000,61162,123548,404002
merkle++,512,1000000,200000,62073,124770,402010
merkle++,1024,1000000,200000,62073,124455,400996
merkle++,2,10000000,200000,7334,85338,2327014
merkle++,4,10000000,200000,13837,90706,1311068
merkle++,8,10000000,200000,19990,94826,948744
merkle++,16,10000000,200000,25326,99486,785648
merkle++,32,10000000,200000,29664,102692,692352
merkle++,64,10000000,200000,37243,104047,558734
merkle++,128,10000000,200000,45413,108708,478754
merkle++,256,10000000,200000,51907,114004,439260
merkle++,512,10000000,200000,56433,118420,419682
merkle++,1024,10000000,200000,58979,120972,410218
merkle++,2,100000000,200000,4627,84049,3632724
merkle++,4,100000000,200000,8820,86703,1965920
merkle++,8,100000000,200000,13095,90905,1388400
merkle++,16,100000000,200000,16775,94113,1122020
merkle++,32,100000000,200000,20578,91411,888432
merkle++,64,100000000,200000,24557,98267,800292
merkle++,128,100000000,200000,26399,100194,759076
merkle++,256,100000000,200000,28232,100906,714822
merkle++,512,100000000,200000,33624,100156,595730
merkle++,1024,100000000,200000,40849,101736,498104
merkle++,2,1000000000,200000,3224,79919,4957470
merkle++,4,1000000000,200000,6378,83863,2629714
merkle++,8,1000000000,200000,9609,88184,1835394
merkle++,16,1000000000,200000,12596,90531,1437372
merkle++,32,1000000000,200000,15496,92382,1192292
merkle++,64,1000000000,200000,17972,93693,1042618
merkle++,128,1000000000,200000,21963,94068,856590
merkle++,256,1000000000,200000,23818,95880,805108
merkle++,512,1000000000,200000,24310,95341,784376
merkle++,1024,1000000000,200000,24497,93432,762784
merkle++,2,2000000000,200000,3000,80419,5360442
merkle++,4,2000000000,200000,5932,83915,2829036
merkle++,8,2000000000,200000,8610,84913,1972284
merkle++,16,2000000000,200000,11241,87166,1550772
merkle++,32,2000000000,200000,14165,88004,1242542
merkle++,64,2000000000,200000,15971,90574,1134174
merkle++,128,2000000000,200000,19280,88736,920466
merkle++,256,2000000000,200000,21889,90361,825630
merkle++,512,2000000000,200000,22256,88756,797568
merkle++,1024,2000000000,200000,21829,85342,781904
