type,arity,num_leaves,num_updates,upds_per_sec,hashes_per_sec,num_hashes
merkle_blake2s,2,1000000,200000,743494,2805449,754666
merkle_blake2s,4,1000000,200000,1020408,2189642,429170
merkle_blake2s,8,1000000,200000,1183431,1903964,321770
merkle_blake2s,16,1000000,200000,1149425,1522436,264904
merkle_blake2s,32,1000000,200000,1190476,1382369,232238
merkle_blake2s,64,1000000,200000,1379310,1488779,215873
merkle_blake2s,128,1000000,200000,1250000,1299212,207874
merkle_blake2s,256,1000000,200000,1290322,1315625,203922
merkle_blake2s,512,1000000,200000,1428571,1442550,201957
merkle_blake2s,1024,1000000,200000,1257861,1264012,200978
merkle_blake2s,2,10000000,200000,431034,2938450,1363441
merkle_blake2s,4,10000000,200000,568181,2079497,731983
merkle_blake2s,8,10000000,200000,558659,1458276,522063
merkle_blake2s,16,10000000,200000,486618,1007075,413908
merkle_blake2s,32,10000000,200000,373134,669402,358800
merkle_blake2s,64,10000000,200000,275862,435350,315629
merkle_blake2s,128,10000000,200000,231749,316067,272766
merkle_blake2s,256,10000000,200000,215749,257811,238991
merkle_blake2s,512,10000000,200000,216450,237627,219568
merkle_blake2s,1024,10000000,200000,218102,228763,209776
merkle_blake2s,2,100000000,200000,235849,2378627,2017076
merkle_blake2s,4,100000000,200000,352733,1867313,1058767
merkle_blake2s,8,100000000,200000,314960,1164502,739459
merkle_blake2s,16,100000000,200000,275482,798595,579780
merkle_blake2s,32,100000000,200000,214822,518126,482376
merkle_blake2s,64,100000000,200000,152091,313725,412549
merkle_blake2s,128,100000000,200000,93370,178544,382442
merkle_blake2s,256,100000000,200000,55944,100213,358263
merkle_blake2s,512,100000000,200000,35855,58377,325628
merkle_blake2s,1024,100000000,200000,26444,37703,285155
merkle_blake2s,2,1000000000,200000,68119,912703,2679697
merkle_blake2s,4,1000000000,200000,157109,1092014,1390134
merkle_blake2s,8,1000000000,200000,208550,1001249,960198
merkle_blake2s,16,1000000000,200000,180342,674202,747691
merkle_blake2s,32,1000000000,200000,137835,421589,611726
merkle_blake2s,64,1000000000,200000,94562,254834,538974
merkle_blake2s,128,1000000000,200000,65573,149745,456725
merkle_blake2s,256,1000000000,200000,40941,83995,410316
merkle_blake2s,512,1000000000,200000,22698,44720,394032
merkle_blake2s,1024,1000000000,200000,12344,23568,381849
merkle_blake2s,2,2000000000,200000,53734,773872,2880352
merkle_blake2s,4,2000000000,200000,74404,554242,1489803
merkle_blake2s,8,2000000000,200000,97751,501309,1025679
merkle_blake2s,16,2000000000,200000,120627,478994,794173
merkle_blake2s,32,2000000000,200000,102092,332093,650572
merkle_blake2s,64,2000000000,200000,75414,215483,571461
merkle_blake2s,128,2000000000,200000,51546,128326,497908
merkle_blake2s,256,2000000000,200000,35192,75321,428050
merkle_blake2s,512,2000000000,200000,20603,41494,402786
merkle_blake2s,1024,2000000000,200000,11279,22109,392049
