type,arity,num_leaves,num_updates,upds_per_sec,hashes_per_sec,num_hashes
merkle_blake2b,2,1000000,200000,1600000,6037800,754725
merkle_blake2b,4,1000000,200000,1960784,4207647,429180
merkle_blake2b,8,1000000,200000,2352941,3785388,321758
merkle_blake2b,16,1000000,200000,2439024,3229829,264846
merkle_blake2b,32,1000000,200000,2597402,3016064,232237
merkle_blake2b,64,1000000,200000,3076923,3321123,215873
merkle_blake2b,128,1000000,200000,2816901,2927802,207874
merkle_blake2b,256,1000000,200000,2941176,2998852,203922
merkle_blake2b,512,1000000,200000,3225806,3257370,201957
merkle_blake2b,1024,1000000,200000,2857142,2871114,200978
merkle_blake2b,2,10000000,200000,862068,5879883,1364133
merkle_blake2b,4,10000000,200000,1005025,3678120,731946
merkle_blake2b,8,10000000,200000,1086956,2838755,522331
merkle_blake2b,16,10000000,200000,1010101,2091070,414032
merkle_blake2b,32,10000000,200000,803212,1442481,359178
merkle_blake2b,64,10000000,200000,626959,989457,315637
merkle_blake2b,128,10000000,200000,533333,727232,272712
merkle_blake2b,256,10000000,200000,510204,609734,239016
merkle_blake2b,512,10000000,200000,516795,567361,219569
merkle_blake2b,1024,10000000,200000,523560,549151,209776
merkle_blake2b,2,100000000,200000,398406,4016348,2016207
merkle_blake2b,4,100000000,200000,540540,2860064,1058224
merkle_blake2b,8,100000000,200000,547945,2027147,739909
merkle_blake2b,16,100000000,200000,540540,1567564,579999
merkle_blake2b,32,100000000,200000,442477,1066882,482231
merkle_blake2b,64,100000000,200000,330578,682257,412766
merkle_blake2b,128,100000000,200000,213447,408671,382925
merkle_blake2b,256,100000000,200000,132187,236661,358069
merkle_blake2b,512,100000000,200000,85800,139674,325582
merkle_blake2b,1024,100000000,200000,64350,91761,285195
merkle_blake2b,2,1000000000,200000,93327,1250152,2679076
merkle_blake2b,4,1000000000,200000,242718,1686853,1389967
merkle_blake2b,8,1000000000,200000,361663,1736186,960111
merkle_blake2b,16,1000000000,200000,352733,1318229,747436
merkle_blake2b,32,1000000000,200000,286944,877945,611928
merkle_blake2b,64,1000000000,200000,210084,566162,538987
merkle_blake2b,128,1000000000,200000,150715,344142,456677
merkle_blake2b,256,1000000000,200000,97418,199891,410377
merkle_blake2b,512,1000000000,200000,54779,107904,393960
merkle_blake2b,1024,1000000000,200000,30152,57575,381898
merkle_blake2b,2,2000000000,200000,63633,916073,2879219
merkle_blake2b,4,2000000000,200000,133868,997661,1490507
merkle_blake2b,8,2000000000,200000,162206,832066,1025938
merkle_blake2b,16,2000000000,200000,187265,743446,794001
merkle_blake2b,32,2000000000,200000,172413,560730,650447
merkle_blake2b,64,2000000000,200000,141342,403572,571055
merkle_blake2b,128,2000000000,200000,104712,260702,497941
merkle_blake2b,256,2000000000,200000,75757,162112,427978
merkle_blake2b,512,2000000000,200000,46533,93680,402640
merkle_blake2b,1024,2000000000,200000,25400,49795,392093
