type,arity,num_leaves,num_updates,upds_per_sec,hashes_per_sec,num_hashes
merkle_sha3,2,1000000,200000,956937,3610894,754677
merkle_sha3,4,1000000,200000,1129943,2425429,429301
merkle_sha3,8,1000000,200000,1739130,2799243,321913
merkle_sha3,16,1000000,200000,1562500,2069703,264922
merkle_sha3,32,1000000,200000,1587301,1843158,232238
merkle_sha3,64,1000000,200000,1834862,1980486,215873
merkle_sha3,128,1000000,200000,1694915,1761644,207874
merkle_sha3,256,1000000,200000,1724137,1757948,203922
merkle_sha3,512,1000000,200000,1941747,1960747,201957
merkle_sha3,1024,1000000,200000,1694915,1703203,200978
merkle_sha3,2,10000000,200000,531914,3627420,1363910
merkle_sha3,4,10000000,200000,584795,2140181,731942
merkle_sha3,8,10000000,200000,813008,2123796,522454
merkle_sha3,16,10000000,200000,682593,1413078,414032
merkle_sha3,32,10000000,200000,508905,913857,359146
merkle_sha3,64,10000000,200000,371057,585833,315764
merkle_sha3,128,10000000,200000,315955,430985,272814
merkle_sha3,256,10000000,200000,298507,356676,238973
merkle_sha3,512,10000000,200000,301204,330676,219569
merkle_sha3,1024,10000000,200000,304878,319780,209776
merkle_sha3,2,100000000,200000,280504,2828503,2016723
merkle_sha3,4,100000000,200000,341296,1806100,1058375
merkle_sha3,8,100000000,200000,470588,1740376,739660
merkle_sha3,16,100000000,200000,382409,1108363,579674
merkle_sha3,32,100000000,200000,284900,686804,482137
merkle_sha3,64,100000000,200000,200803,414324,412667
merkle_sha3,128,100000000,200000,126984,243126,382924
merkle_sha3,256,100000000,200000,76016,136103,358087
merkle_sha3,512,100000000,200000,49407,80458,325697
merkle_sha3,1024,100000000,200000,36989,52737,285151
merkle_sha3,2,1000000000,200000,84889,1137903,2680900
merkle_sha3,4,1000000000,200000,170068,1182107,1390159
merkle_sha3,8,1000000000,200000,307219,1474657,960002
merkle_sha3,16,1000000000,200000,260756,974371,747343
merkle_sha3,32,1000000000,200000,190114,581393,611626
merkle_sha3,64,1000000000,200000,127551,343622,538800
merkle_sha3,128,1000000000,200000,91116,208052,456675
merkle_sha3,256,1000000000,200000,56996,116937,410334
merkle_sha3,512,1000000000,200000,31635,62297,393843
merkle_sha3,1024,1000000000,200000,17286,33003,381853
merkle_sha3,2,2000000000,200000,56369,811664,2879787
merkle_sha3,4,2000000000,200000,108166,805773,1489876
merkle_sha3,8,2000000000,200000,156985,804999,1025569
merkle_sha3,16,2000000000,200000,153609,609664,793783
merkle_sha3,32,2000000000,200000,132538,431128,650573
merkle_sha3,64,2000000000,200000,96805,276502,571254
merkle_sha3,128,2000000000,200000,68941,171668,498009
merkle_sha3,256,2000000000,200000,47961,102648,428043
merkle_sha3,512,2000000000,200000,28604,57578,402588
merkle_sha3,1024,2000000000,200000,15501,30383,392010
