type,arity,num_leaves,num_updates,upds_per_sec,hashes_per_sec,num_hashes
merkle_tiny_sha3,2,1000000,200000,1010101,3811035,754585
merkle_tiny_sha3,4,1000000,200000,1176470,2522082,428754
merkle_tiny_sha3,8,1000000,200000,1801801,2900243,321927
merkle_tiny_sha3,16,1000000,200000,1652892,2189206,264894
merkle_tiny_sha3,32,1000000,200000,1680672,1951546,232234
merkle_tiny_sha3,64,1000000,200000,1923076,2075701,215873
merkle_tiny_sha3,128,1000000,200000,1754385,1823456,207874
merkle_tiny_sha3,256,1000000,200000,1818181,1853836,203922
merkle_tiny_sha3,512,1000000,200000,2020202,2039969,201957
merkle_tiny_sha3,1024,1000000,200000,1769911,1778566,200978
merkle_tiny_sha3,2,10000000,200000,569800,3883113,1362973
merkle_tiny_sha3,4,10000000,200000,615384,2251243,731654
merkle_tiny_sha3,8,10000000,200000,869565,2270486,522212
merkle_tiny_sha3,16,10000000,200000,722021,1495133,414152
merkle_tiny_sha3,32,10000000,200000,536193,962193,358898
merkle_tiny_sha3,64,10000000,200000,389105,614373,315788
merkle_tiny_sha3,128,10000000,200000,332778,453961,272831
merkle_tiny_sha3,256,10000000,200000,312500,373442,239003
merkle_tiny_sha3,512,10000000,200000,314465,345235,219570
merkle_tiny_sha3,1024,10000000,200000,317460,332977,209776
merkle_tiny_sha3,2,100000000,200000,298507,3008898,2015962
merkle_tiny_sha3,4,100000000,200000,358422,1897250,1058666
merkle_tiny_sha3,8,100000000,200000,490196,1812985,739698
merkle_tiny_sha3,16,100000000,200000,402414,1166114,579559
merkle_tiny_sha3,32,100000000,200000,303951,732887,482240
merkle_tiny_sha3,64,100000000,200000,204708,422408,412693
merkle_tiny_sha3,128,100000000,200000,130804,250402,382866
merkle_tiny_sha3,256,100000000,200000,80580,144334,358237
merkle_tiny_sha3,512,100000000,200000,52232,85007,325493
merkle_tiny_sha3,1024,100000000,200000,38850,55408,285244
merkle_tiny_sha3,2,1000000000,200000,87032,1166042,2679566
merkle_tiny_sha3,4,1000000000,200000,228832,1590322,1389942
merkle_tiny_sha3,8,1000000000,200000,325203,1561232,960158
merkle_tiny_sha3,16,1000000000,200000,274348,1025633,747687
merkle_tiny_sha3,32,1000000000,200000,202634,619721,611665
merkle_tiny_sha3,64,1000000000,200000,134861,363606,539228
merkle_tiny_sha3,128,1000000000,200000,95602,218325,456737
merkle_tiny_sha3,256,1000000000,200000,60606,124348,410351
merkle_tiny_sha3,512,1000000000,200000,33938,66860,394006
merkle_tiny_sha3,1024,1000000000,200000,18221,34803,382000
merkle_tiny_sha3,2,2000000000,200000,60938,877150,2878807
merkle_tiny_sha3,4,2000000000,200000,117233,873171,1489630
merkle_tiny_sha3,8,2000000000,200000,168350,863526,1025870
merkle_tiny_sha3,16,2000000000,200000,161812,642390,793995
merkle_tiny_sha3,32,2000000000,200000,136332,443350,650395
merkle_tiny_sha3,64,2000000000,200000,103359,295131,571080
merkle_tiny_sha3,128,2000000000,200000,70646,175951,498118
merkle_tiny_sha3,256,2000000000,200000,50942,109046,428116
merkle_tiny_sha3,512,2000000000,200000,29868,60127,402612
merkle_tiny_sha3,1024,2000000000,200000,16216,31792,392091
