type,arity,num_leaves,num_updates,upds_per_sec,hashes_per_sec,num_hashes
verkle,2,1000000,200000,17852,67366,754710
verkle,4,1000000,200000,34578,74203,429191
verkle,8,1000000,200000,53233,85694,321955
verkle,16,1000000,200000,73072,96797,264934
verkle,32,1000000,200000,97799,113562,232235
verkle,64,1000000,200000,133067,143627,215872
verkle,128,1000000,200000,160384,166699,207874
verkle,256,1000000,200000,180018,183547,203921
verkle,512,1000000,200000,193050,194938,201956
verkle,1024,1000000,200000,192122,193061,200977
verkle,2,10000000,200000,9184,62580,1362751
verkle,4,10000000,200000,18407,67346,731715
verkle,8,10000000,200000,27797,72577,522196
verkle,16,10000000,200000,37757,78173,414084
verkle,32,10000000,200000,48709,87382,358794
verkle,64,10000000,200000,58156,91907,316071
verkle,128,10000000,200000,70447,96103,272838
verkle,256,10000000,200000,89126,106495,238976
verkle,512,10000000,200000,119760,131477,219568
verkle,1024,10000000,200000,150150,157488,209775
verkle,2,100000000,200000,6067,61170,2016491
verkle,4,100000000,200000,12148,64304,1058642
verkle,8,100000000,200000,18061,66821,739919
verkle,16,100000000,200000,23134,67060,579738
verkle,32,100000000,200000,31133,75075,482282
verkle,64,100000000,200000,36771,75884,412736
verkle,128,100000000,200000,44573,85295,382722
verkle,256,100000000,200000,47337,84757,358102
verkle,512,100000000,200000,52659,85767,325745
verkle,1024,100000000,200000,61387,87539,285204
verkle,2,1000000000,200000,4306,57703,2679796
verkle,4,1000000000,200000,8195,56980,1390500
verkle,8,1000000000,200000,13083,62787,959831
verkle,16,1000000000,200000,17254,64506,747698
verkle,32,1000000000,200000,20959,64108,611725
verkle,64,1000000000,200000,24015,64742,539176
verkle,128,1000000000,200000,29542,67470,456772
verkle,256,1000000000,200000,37147,76225,410396
verkle,512,1000000000,200000,40128,79053,394001
verkle,1024,1000000000,200000,37348,71309,381860
verkle,2,2000000000,200000,3685,53069,2879918
verkle,4,2000000000,200000,7893,58786,1489477
verkle,8,2000000000,200000,11831,60688,1025872
verkle,16,2000000000,200000,15421,61231,794115
verkle,32,2000000000,200000,18844,61285,650424
verkle,64,2000000000,200000,22851,65282,571349
verkle,128,2000000000,200000,26997,67237,498094
verkle,256,2000000000,200000,31372,67143,428041
verkle,512,2000000000,200000,33783,68019,402678
verkle,1024,2000000000,200000,31710,62165,392077
