type,arity,num_leaves,num_updates,upds_per_sec,hashes_per_sec,num_hashes
verkle,2,1000000,200000,10503,39644,754920
verkle,4,1000000,200000,23621,50688,429181
verkle,8,1000000,200000,40371,65007,322049
verkle,16,1000000,200000,64308,85189,264938
verkle,32,1000000,200000,97560,113284,232233
verkle,64,1000000,200000,133155,143723,215872
verkle,128,1000000,200000,160256,166564,207873
verkle,256,1000000,200000,179533,183052,203921
verkle,512,1000000,200000,192678,194562,201956
verkle,1024,1000000,200000,195121,196075,200977
verkle,2,10000000,200000,5150,35100,1363072
verkle,4,10000000,200000,10930,39992,731746
verkle,8,10000000,200000,17398,45426,522180
verkle,16,10000000,200000,25065,51878,413937
verkle,32,10000000,200000,32388,58107,358811
verkle,64,10000000,200000,41849,66129,316033
verkle,128,10000000,200000,59189,80775,272942
verkle,256,10000000,200000,86994,103963,239011
verkle,512,10000000,200000,120048,131793,219568
verkle,1024,10000000,200000,149925,157252,209775
verkle,2,100000000,200000,3315,33445,2017444
verkle,4,100000000,200000,6896,36499,1058570
verkle,8,100000000,200000,10661,39433,739728
verkle,16,100000000,200000,14876,43126,579788
verkle,32,100000000,200000,19525,47073,482174
verkle,64,100000000,200000,24959,51504,412704
verkle,128,100000000,200000,28368,54296,382790
verkle,256,100000000,200000,31948,57183,357969
verkle,512,100000000,200000,37972,61832,325674
verkle,1024,100000000,200000,49763,70999,285346
verkle,2,1000000000,200000,2368,31724,2678913
verkle,4,1000000000,200000,4943,34337,1389206
verkle,8,1000000000,200000,7710,37013,960015
verkle,16,1000000000,200000,10160,37975,747545
verkle,32,1000000000,200000,13615,41639,611640
verkle,64,1000000000,200000,16321,44011,539317
verkle,128,1000000000,200000,20393,46570,456713
verkle,256,1000000000,200000,24551,50370,410320
verkle,512,1000000000,200000,25839,50889,393882
verkle,1024,1000000000,200000,26420,50424,381711
verkle,2,2000000000,200000,2050,29530,2880257
