type,arity,num_leaves,num_updates,upds_per_sec,hashes_per_sec,num_hashes
verkle,2,1000000,200000,22729,85817,755105
verkle,4,1000000,200000,42835,91910,429129
verkle,8,1000000,200000,62539,100703,322049
verkle,16,1000000,200000,83125,110115,264938
verkle,32,1000000,200000,105652,122679,232233
verkle,64,1000000,200000,138504,149495,215872
verkle,128,1000000,200000,163934,170387,207873
verkle,256,1000000,200000,182149,185720,203921
verkle,512,1000000,200000,193986,195883,201956
verkle,1024,1000000,200000,196078,197036,200977
verkle,2,10000000,200000,12088,82433,1363866
verkle,4,10000000,200000,23413,85731,732322
verkle,8,10000000,200000,34530,90171,522276
verkle,16,10000000,200000,45966,95176,414113
verkle,32,10000000,200000,59014,105926,358986
verkle,64,10000000,200000,69979,110487,315773
verkle,128,10000000,200000,82203,112152,272868
verkle,256,10000000,200000,98183,117328,238999
verkle,512,10000000,200000,124766,136973,219569
verkle,1024,10000000,200000,153139,160624,209775
verkle,2,100000000,200000,7965,80317,2016694
verkle,4,100000000,200000,15618,82652,1058363
verkle,8,100000000,200000,23097,85400,739481
verkle,16,100000000,200000,30736,89120,579910
verkle,32,100000000,200000,33512,80802,482230
verkle,64,100000000,200000,45945,94802,412674
verkle,128,100000000,200000,53806,102962,382713
verkle,256,100000000,200000,58513,104822,358282
verkle,512,100000000,200000,64370,104782,325559
verkle,1024,100000000,200000,70921,101088,285069
verkle,2,1000000000,200000,5465,73235,2679771
verkle,4,1000000000,200000,11269,78322,1389992
verkle,8,1000000000,200000,17107,82132,960209
verkle,16,1000000000,200000,23001,85976,747567
verkle,32,1000000000,200000,28756,87925,611519
verkle,64,1000000000,200000,34482,92957,539153
verkle,128,1000000000,200000,39385,89963,456835
verkle,256,1000000000,200000,47247,96907,410210
verkle,512,1000000000,200000,50774,100033,394032
verkle,1024,1000000000,200000,49627,94742,381811
verkle,2,2000000000,200000,4960,71413,2879251
verkle,4,2000000000,200000,10336,76988,1489581
verkle,8,2000000000,200000,15256,78251,1025795
verkle,16,2000000000,200000,20082,79721,793949
verkle,32,2000000000,200000,25271,82195,650498
verkle,64,2000000000,200000,30248,86400,571279
verkle,128,2000000000,200000,33875,84376,498159
verkle,256,2000000000,200000,38528,82460,428053
verkle,512,2000000000,200000,41211,82954,402577
verkle,1024,2000000000,200000,38395,75276,392113
